task,start_s,duration_s,assigned_antenna_stage3
0,26375,2720,3
1,23621,2709,3
2,16473,3130,3
3,24646,1656,0
4,13738,2845,3
5,17292,2519,0
6,14034,2137,2
7,14374,2435,1
8,10844,3640,1
9,3861,2628,3
10,0,2007,2
11,21324,2407,3
12,19493,1941,3
13,16699,2737,1
14,20766,2015,2
15,10100,1799,3
16,26862,2082,2
17,0,1442,1
18,1746,2225,3
19,7004,2506,2
20,4819,2295,2
21,0,2282,0
22,16061,3213,2
23,11940,2204,2
24,22671,1934,2
25,1901,2873,2
26,7885,3069,1
27,0,1856,3
28,26503,2547,1
29,9400,2650,2
30,19164,1712,2
31,4088,1645,1
32,19326,2597,1
33,12440,2512,0
34,5623,2372,1
35,21813,1947,1
36,23650,2808,1
37,11789,2059,3
38,14842,2560,0
39,24495,2477,2
40,22538,2218,0
41,19701,2947,0
42,9769,2781,0
43,8047,2008,3
44,5264,2255,0
45,26192,2702,0
46,6379,1778,3
47,2172,3202,0
48,7409,2470,0
49,1332,2866,1
