task,assigned_antenna_stage2
0,3
1,3
2,3
3,0
4,3
5,0
6,2
7,1
8,1
9,3
10,2
11,3
12,3
13,1
14,2
15,3
16,2
17,1
18,3
19,2
20,2
21,0
22,2
23,2
24,2
25,2
26,1
27,3
28,1
29,2
30,2
31,1
32,1
33,0
34,1
35,1
36,1
37,3
38,0
39,2
40,0
41,0
42,0
43,3
44,0
45,0
46,3
47,0
48,0
49,1
