task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
0,2720,15164,1875,1,0.001,311,0.311,3;5;7;9;15;16;17;19;24;31;37;39;40;45;48;50;54;57;59;64;66;67;69;74;75;77;78;79;82;85;86;87;92;96;99
1,2709,15039,1930,6,0.006,288,0.288,1;2;5;7;9;11;17;18;20;21;22;24;25;26;29;33;40;41;48;51;52;58;60;63;64;65;67;68;71;72;75;79;83;87;88;91;92
2,3130,18455,2266,1,0.001,277,0.277,1;2;9;15;18;20;22;23;25;26;28;32;33;37;40;42;46;51;52;53;54;55;56;65;67;68;69;70;71;74;76;77;78;80;85;86;87;88;89;91;96;98
3,1656,7533,949,2,0.002,427,0.427,3;5;15;16;18;21;34;43;49;62;63;64;65;73;75;88;90;94
4,2845,13557,1726,13,0.013,395,0.395,0;2;7;9;10;11;13;20;24;25;32;36;38;41;43;44;48;56;58;60;65;66;70;71;73;74;78;79;81;82;88;95;96
5,2519,11216,1451,2,0.002,424,0.424,0;5;7;10;11;12;13;21;24;26;33;39;44;46;56;57;59;60;61;63;66;67;68;78;84;92;97;98
6,2137,10036,1294,18,0.018,395,0.395,1;4;10;12;13;15;16;19;21;29;32;36;39;40;43;45;48;57;58;61;65;74;75;78;93
7,2435,15240,1939,0,0.0,205,0.205,6;7;12;13;16;17;18;20;21;22;24;25;27;30;37;38;39;40;41;43;44;51;52;55;63;65;66;68;71;73;85;87;89;92;94;95;97
8,3640,18965,2385,9,0.009,345,0.345,1;6;8;10;12;13;17;19;23;24;27;29;31;34;42;46;49;51;54;55;57;58;59;60;62;63;67;68;69;70;72;76;77;79;82;86;89;91;92;93;95;96;97;98;99
9,2628,14787,1861,1,0.001,292,0.292,1;5;8;9;14;15;16;20;21;25;27;28;32;36;39;40;43;55;67;70;71;73;74;75;77;81;83;84;86;87;88;90;91;96;99
10,2007,11844,1516,1,0.001,245,0.245,0;2;5;16;17;24;29;30;31;33;34;35;42;43;44;45;46;50;51;53;55;61;63;70;71;76;87;88;90
