task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
11,2407,16577,2104,0,0.0,126,0.126,1;3;5;6;9;10;11;14;18;19;22;24;26;29;31;33;34;46;47;51;53;54;56;57;61;64;69;71;72;74;78;79;80;83;85;86;89;92;94;97
12,1941,9466,1235,1,0.001,365,0.365,0;1;3;15;16;17;23;24;29;31;32;35;40;41;47;49;58;62;80;82;84;86;88;90
13,2737,12373,1547,1,0.001,435,0.435,3;4;5;8;10;12;15;17;18;20;23;28;30;33;39;42;43;45;46;47;53;56;64;65;66;74;78;79;96
14,2015,10600,1358,1,0.001,328,0.328,2;4;8;9;12;18;28;30;37;38;42;51;52;55;62;63;64;66;69;74;84;85;86;89;95;98
15,1799,12620,1587,1,0.001,118,0.118,8;9;21;22;25;27;30;34;38;44;47;48;49;50;53;54;64;77;83;84;85;89;90;91;92;93;94;96;97;99
16,2082,6355,829,0,0.0,602,0.602,2;12;26;29;39;44;45;46;48;52;64;66;70;90;92;95
17,1442,5668,732,2,0.002,493,0.493,2;5;31;34;39;47;48;53;56;73;77;79;84;96
18,2225,14712,1856,2,0.002,166,0.166,0;1;4;6;10;11;14;16;22;27;29;30;32;35;37;38;42;43;44;52;55;56;57;58;63;68;72;79;83;86;89;90;91;95;96
19,2506,14146,1791,2,0.002,287,0.287,1;6;10;11;12;13;14;16;17;19;20;29;30;32;34;35;39;44;47;49;50;56;57;58;61;64;70;74;79;81;88;90;93;98
20,2295,14656,1795,3,0.003,218,0.218,0;2;3;10;11;13;15;16;17;21;31;37;40;47;48;50;51;55;59;61;63;64;65;66;67;70;72;76;80;88;91;92;97
21,2282,13663,1708,2,0.002,252,0.252,0;1;3;4;7;9;19;26;31;35;41;43;47;49;51;53;54;56;61;67;69;70;75;78;80;81;85;90;92;93;94;97
22,3213,15069,1899,1,0.001,409,0.409,9;11;13;14;16;17;18;19;20;22;26;37;38;40;42;43;45;47;55;58;62;65;67;68;74;77;79;81;84;85;87;88;92;95;97;98
23,2204,12901,1688,18,0.018,236,0.236,1;3;9;10;11;12;15;17;20;22;23;25;30;31;36;48;54;56;58;62;68;70;71;73;75;76;79;81;87;88;90;93;99
24,1934,11788,1512,6,0.006,219,0.219,0;1;9;10;16;20;27;28;29;31;34;37;39;40;41;47;50;52;53;57;69;70;72;85;90;91;93;94;97
25,2873,16144,2047,9,0.009,288,0.288,0;2;5;7;8;9;14;15;18;21;23;26;33;35;38;40;41;42;45;49;51;52;53;55;59;61;62;64;66;68;70;73;78;80;81;82;86;97;98
26,3069,17155,2139,2,0.002,305,0.305,1;4;6;11;14;18;20;24;29;30;31;32;33;36;38;39;43;44;45;46;48;52;53;55;58;60;62;63;64;65;66;68;75;78;81;83;87;90;95;98
27,1856,11917,1521,0,0.0,181,0.181,0;3;7;10;11;13;15;17;30;32;35;37;38;41;43;46;52;53;54;62;69;76;81;83;87;89;90;96;97
28,2547,14818,1862,0,0.0,269,0.269,6;9;13;20;21;24;29;30;32;34;38;39;40;41;42;51;52;55;56;57;61;63;67;70;74;75;83;84;86;87;89;90;91;93;99
29,2650,11642,1564,4,0.004,410,0.41,4;10;11;18;19;25;26;28;29;35;39;41;42;47;51;55;56;60;61;73;74;76;77;78;80;87;88;91;93;94;95
30,1712,7829,1026,4,0.004,401,0.401,1;5;6;9;10;11;14;24;35;36;38;40;48;85;87;88;89;90;93;96
31,1645,8568,1155,17,0.017,298,0.298,0;2;7;17;20;26;27;45;47;51;53;58;60;68;69;76;81;87;89;90;91;96;97
32,2597,10996,1439,5,0.005,446,0.446,9;11;15;17;18;23;24;27;31;35;36;37;47;48;49;51;55;58;62;63;69;72;77;78;84;88;93;97
33,2512,10279,1339,1,0.001,467,0.467,10;14;18;21;23;26;30;32;38;40;41;48;53;55;62;66;70;73;74;77;80;85;86;91;93;95
34,2372,14164,1789,24,0.024,247,0.247,0;2;3;6;7;9;10;12;25;28;30;39;41;42;43;44;45;50;52;54;55;57;58;61;63;66;67;71;73;76;80;87;94;99
35,1947,12384,1542,6,0.006,210,0.21,0;4;13;15;20;21;26;29;32;39;42;46;49;50;61;62;64;66;67;70;75;76;86;88;89;92;95;97;98
36,2808,13379,1691,15,0.015,399,0.399,0;3;4;5;8;13;16;21;23;34;37;40;42;43;55;56;57;59;60;65;70;71;72;74;78;79;82;87;90;91;94;98
37,2059,6023,779,5,0.005,623,0.623,1;9;12;20;26;28;36;37;45;54;60;68;85;91;96
38,2560,13182,1679,1,0.001,345,0.345,1;3;10;15;18;20;22;26;27;34;39;40;44;50;56;57;59;61;63;64;69;71;78;82;83;87;88;89;91;92;95;97
39,2477,16697,2166,20,0.02,126,0.126,0;3;7;9;11;14;15;16;17;20;22;24;27;30;33;36;37;39;40;41;42;47;48;50;53;54;55;59;61;63;69;70;75;77;79;81;83;89;94;95;97;99
40,2218,10234,1338,17,0.017,398,0.398,5;10;13;16;20;24;30;33;34;36;37;39;43;52;58;60;61;68;69;70;77;79;82;83;85;91
41,2947,14943,1922,0,0.0,348,0.348,5;10;15;18;22;24;30;32;33;34;39;42;46;47;48;49;51;52;57;65;67;73;74;75;78;79;80;83;84;87;89;90;91;92;95;98;99
42,2781,12887,1661,2,0.002,404,0.404,2;9;11;12;14;18;20;27;28;31;36;37;42;50;51;52;53;54;59;65;66;74;76;81;86;88;91;92;93;94;97;99
43,2008,11434,1490,10,0.01,258,0.258,2;3;5;8;9;11;19;32;38;43;48;50;53;55;62;65;67;70;75;79;82;83;85;87;89;93;94;95;96
44,2255,16010,2074,3,0.003,82,0.082,0;2;3;10;11;14;15;16;17;21;25;26;27;37;39;40;42;43;44;45;56;57;58;59;63;65;68;71;76;77;79;80;81;85;87;88;91;92;95;99
45,2702,13785,1772,2,0.002,345,0.345,1;2;4;5;8;12;20;21;24;27;28;29;31;32;35;37;41;45;48;51;59;62;64;65;66;68;73;78;81;91;93;94;96;97
46,1778,5993,805,2,0.002,548,0.548,1;10;11;21;25;40;52;53;56;72;81;82;83;86;87;98
47,3202,16197,2028,1,0.001,367,0.367,0;2;3;7;10;11;13;15;16;25;28;32;35;37;38;42;47;48;51;52;54;55;60;61;63;64;68;69;74;78;79;80;87;89;90;94;96;98
48,2470,12967,1636,6,0.006,339,0.339,4;6;7;9;10;16;18;25;27;28;31;32;33;38;43;45;49;51;54;55;58;62;68;78;82;87;89;92;95;98;99
49,2866,14068,1787,1,0.001,377,0.377,0;1;6;9;11;14;16;18;20;21;23;28;33;38;43;48;49;50;54;55;56;58;61;62;67;68;69;72;73;75;76;84;85;93
