task,assigned_antenna_stage2
0,3
1,3
2,2
3,0
4,0
5,1
6,1
7,0
8,2
9,3
10,3
11,1
12,0
13,2
14,2
15,1
16,0
17,3
18,1
19,1
20,3
21,0
22,1
23,2
24,2
