task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
0,2745,13007,1696,0,0.0,383,0.383,2;3;5;6;9;10;11;14;25;27;28;36;41;44;52;53;56;57;61;64;65;66;70;77;78;79;84;86;88;92;95;96;98
1,2056,12707,1592,13,0.013,227,0.227,1;3;11;12;13;16;23;28;33;38;39;43;44;48;51;53;55;56;61;66;69;72;75;80;81;84;85;86;93;95
2,2942,15270,1916,1,0.001,349,0.349,2;4;5;12;13;18;22;26;27;33;34;35;37;41;42;44;50;52;53;55;58;59;61;63;66;67;68;70;71;74;75;79;80;82;84;87
3,2778,16516,2128,13,0.013,234,0.234,0;1;3;4;5;12;13;16;18;22;28;32;33;36;38;39;40;43;48;50;53;57;61;64;65;67;68;69;70;72;74;78;79;81;83;84;86;88;91;97;98
4,2565,10133,1304,2,0.002,493,0.493,4;5;6;11;13;23;29;37;46;58;59;63;66;67;72;73;78;79;81;85;89;90;92;96;98
5,2327,10897,1377,2,0.002,410,0.41,2;3;4;5;8;9;15;20;22;27;28;32;34;37;40;43;54;56;57;59;62;64;78;87;90;94
6,2465,14897,1888,2,0.002,235,0.235,0;1;4;6;9;21;22;23;25;26;27;30;31;36;39;43;44;45;51;52;55;56;57;63;66;68;72;74;75;78;83;84;88;90;96;97
7,2727,14778,1855,12,0.012,320,0.32,1;2;3;6;7;8;15;19;21;24;31;35;36;37;38;41;50;51;57;62;63;68;69;71;72;73;75;76;78;80;84;87;88;91;93
8,2551,13073,1698,1,0.001,336,0.336,2;6;7;8;9;11;14;15;16;17;27;31;32;39;41;44;48;57;58;59;62;63;64;65;69;70;71;72;80;87;90;93;99
9,2495,9332,1198,1,0.001,520,0.52,0;2;7;12;16;28;29;37;39;46;53;56;57;68;76;80;81;82;88;90;92;95;97
10,2495,12680,1649,0,0.0,340,0.34,1;2;5;6;7;10;20;24;28;30;40;42;50;53;54;55;57;58;59;62;63;68;72;74;76;77;83;84;87;89;92;96
11,2334,13070,1643,1,0.001,297,0.297,1;6;10;11;14;21;24;25;27;28;36;41;42;43;44;47;51;54;57;61;63;67;68;71;75;76;85;87;89;92;97
12,2452,12573,1614,0,0.0,342,0.342,4;6;7;8;16;21;24;25;34;42;44;48;49;54;56;57;59;64;65;74;78;80;81;82;86;89;90;91;93;96;97
13,2199,11803,1513,13,0.013,312,0.312,0;2;6;11;14;15;16;20;21;31;36;40;46;47;48;52;54;59;60;63;66;70;71;74;83;89;90;91;97
14,1619,7056,896,0,0.0,447,0.447,2;5;15;21;22;28;33;39;49;52;59;60;63;77;84;89;90
15,2097,12925,1637,3,0.003,220,0.22,1;4;12;16;20;22;23;25;29;42;47;50;55;58;59;64;71;76;79;81;83;85;87;90;91;92;94;95;96;97;99
16,2389,9899,1287,9,0.009,463,0.463,3;5;6;8;18;23;28;31;42;46;54;62;63;67;68;73;82;88;90;91;93;94;97;98;99
