task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
17,1991,6994,920,5,0.005,538,0.538,1;7;9;10;30;34;39;43;46;48;60;66;68;71;72;90;95;98
18,1041,848,107,0,0.0,898,0.898,62;82
19,2006,11035,1413,2,0.002,297,0.297,4;10;12;13;15;20;22;25;27;28;30;34;36;37;40;49;65;69;70;71;72;78;85;86;91;95;98
20,2708,13505,1726,2,0.002,363,0.363,6;7;8;12;15;20;21;22;23;31;33;36;38;40;45;46;52;53;55;57;62;63;65;69;70;71;77;80;81;87;91;93;96
21,2304,11067,1444,12,0.012,375,0.375,1;3;8;10;11;13;15;16;17;22;23;24;25;26;31;36;37;41;51;58;59;62;69;72;74;77;84;88
22,1628,5550,754,2,0.002,537,0.537,12;16;22;25;36;37;44;45;55;67;74;77;80;84;99
23,2121,8587,1127,2,0.002,469,0.469,1;7;9;15;20;21;32;38;39;42;47;48;50;57;58;64;71;73;76;79;84;91
24,2205,9771,1281,24,0.024,420,0.42,0;3;10;11;20;25;30;32;39;43;44;45;53;54;68;72;76;78;86;90;94;95;96;98;99
25,2701,15223,1912,1,0.001,293,0.293,0;1;8;12;13;15;17;24;26;30;35;37;41;45;46;48;49;54;56;57;59;61;63;69;72;74;75;77;82;84;86;88;89;90;95;97
26,3126,21691,2685,3,0.003,142,0.142,0;1;3;7;10;12;13;14;15;18;19;23;25;27;30;31;32;39;41;44;46;48;49;51;52;54;56;57;58;59;61;63;64;65;66;67;68;69;70;76;81;82;83;85;86;88;94;96;97;99
27,2335,15245,1911,7,0.007,183,0.183,0;1;2;6;11;19;22;25;26;32;34;38;40;41;43;47;49;52;54;60;61;62;63;64;68;69;73;76;78;82;83;84;86;88;89;94
28,2354,15696,1940,0,0.0,176,0.176,2;3;7;9;12;14;16;17;20;21;22;27;34;35;39;42;47;48;51;53;54;56;58;63;66;68;69;72;74;81;89;90;92;93;97;98
29,2878,12914,1660,9,0.009,424,0.424,4;8;17;19;20;21;22;26;27;28;31;37;40;43;44;49;50;51;54;57;73;76;77;83;84;85;88;89;91;93;94;95
30,1877,11568,1496,22,0.022,203,0.203,1;5;7;9;13;16;27;28;31;33;42;44;55;56;58;59;62;63;65;74;75;76;77;78;79;80;85;97;99
31,1324,7539,980,2,0.002,260,0.26,21;24;26;27;35;36;38;43;44;46;57;58;60;72;74;77;82;83;89
32,2754,11020,1410,1,0.001,490,0.49,4;7;16;21;22;27;34;35;37;38;39;43;45;46;48;49;52;58;60;66;68;70;74;85;89;95;96
33,2476,15068,1904,2,0.002,232,0.232,3;6;7;8;11;13;14;15;16;22;25;30;35;36;37;40;48;51;53;55;56;57;58;59;60;66;71;77;78;82;85;88;90;92;93;94
34,2838,10907,1406,12,0.012,505,0.505,4;7;10;14;28;30;32;38;39;42;43;45;50;51;54;55;60;61;62;70;71;72;90;91;92;95;99
35,2800,14558,1842,2,0.002,343,0.343,1;2;6;7;10;11;13;16;20;21;25;28;29;34;37;43;45;49;53;55;56;59;63;64;67;71;73;74;75;86;89;91;94;97;99
36,2177,14284,1823,5,0.005,163,0.163,9;15;17;18;19;24;26;28;29;30;34;35;36;38;41;42;53;56;57;58;59;60;62;63;65;69;75;77;83;84;87;91;92;96;97
37,2868,16144,2022,1,0.001,295,0.295,3;4;5;7;8;11;14;17;18;19;22;23;24;25;30;32;34;39;40;48;49;57;62;66;68;74;77;78;80;81;83;84;85;89;91;96;97;98
38,3084,15171,1934,1,0.001,373,0.373,3;5;8;9;14;15;16;18;21;22;33;35;37;41;42;43;44;51;54;55;56;57;58;61;62;66;67;69;73;75;81;82;84;86;90;91;95
39,2529,14893,1864,0,0.0,263,0.263,2;8;10;11;24;25;26;37;38;40;41;42;45;46;47;48;49;51;53;54;56;58;61;62;65;67;72;74;78;82;84;85;89;97;98
40,1364,7988,1061,0,0.0,223,0.223,3;5;8;16;17;24;27;28;29;32;41;49;61;65;67;80;81;86;87;90;99
41,2392,12158,1505,1,0.001,371,0.371,3;4;8;16;22;23;27;31;36;40;42;50;51;54;55;58;59;67;68;69;72;73;77;78;84;94;97;99
42,2713,14591,1845,0,0.0,320,0.32,2;7;14;15;21;23;24;27;28;29;35;37;39;42;43;45;48;52;56;58;60;67;68;69;70;71;78;80;82;85;87;88;94;95;98
43,2661,9623,1221,2,0.002,542,0.542,2;5;17;20;24;27;41;44;46;53;54;57;67;76;81;82;83;84;86;89;93;96;97
44,1947,9112,1216,1,0.001,376,0.376,2;17;22;26;34;38;40;41;43;46;50;52;54;59;72;73;78;79;82;83;86;89;91;96
45,2156,11380,1518,10,0.01,296,0.296,1;2;5;6;7;12;14;19;22;23;25;32;38;40;41;43;44;49;50;54;61;65;66;75;78;79;84;86;93;97
46,1260,3602,468,4,0.004,630,0.63,2;12;37;40;52;72;75;83;92
47,2999,13137,1734,0,0.0,422,0.422,4;5;8;10;12;15;17;19;24;28;29;31;41;43;46;58;60;62;67;68;69;70;74;75;77;79;81;86;87;88;91;93;96;98
48,2636,16526,2069,11,0.011,216,0.216,0;3;5;6;7;8;11;18;19;22;29;30;35;37;38;42;46;51;54;55;57;58;60;61;67;74;77;78;79;80;81;84;90;92;95;96;97;98;99
49,2921,10951,1408,2,0.002,518,0.518,8;11;12;14;21;23;28;31;35;36;39;40;45;46;53;54;55;61;72;76;78;79;87;88;89;96;97
50,2553,13738,1769,2,0.002,308,0.308,2;9;10;12;15;21;23;26;27;30;31;32;34;36;44;47;49;50;51;54;60;63;65;66;68;70;71;73;77;81;85;90;93;99
51,2820,15552,1987,10,0.01,297,0.297,0;3;4;6;9;11;13;17;18;19;23;24;28;29;30;32;33;35;40;41;46;47;48;53;54;55;56;62;67;68;69;72;76;79;80;87;88;97
52,3487,14839,1889,2,0.002,460,0.46,4;5;7;12;19;23;27;30;31;34;37;42;43;50;53;54;55;58;60;63;64;65;68;70;76;80;82;84;85;86;89;90;91;94;97;99
53,2377,11670,1531,9,0.009,356,0.356,1;2;4;5;12;14;15;19;22;25;26;27;31;36;37;44;49;50;53;55;65;72;73;81;83;84;93;95;96;98
54,1677,10623,1327,2,0.002,209,0.209,0;11;16;22;23;25;32;40;42;43;44;49;62;67;71;73;74;77;81;82;83;92;96;97;98
55,3193,16869,2120,2,0.002,337,0.337,0;1;5;7;13;20;23;25;26;31;32;33;34;37;39;41;43;46;47;49;50;51;52;53;57;59;63;64;72;73;75;76;78;81;82;85;89;90;94;96
56,2351,11387,1486,6,0.006,368,0.368,0;16;26;27;28;29;30;33;35;36;38;43;44;45;48;53;55;56;57;60;65;72;76;83;89;92;95;98;99
57,2262,10713,1392,5,0.005,385,0.385,0;3;7;10;14;19;25;26;31;34;40;45;48;56;62;67;68;70;73;76;79;81;86;87;95;96;98
58,3778,18190,2256,8,0.008,403,0.403,4;5;7;12;13;15;17;22;32;33;38;39;42;44;46;49;50;52;53;54;56;58;59;60;61;62;67;68;69;70;72;73;74;75;80;81;86;89;94;96;98;99
59,2690,13291,1713,2,0.002,364,0.364,1;2;3;6;10;12;13;24;25;33;35;49;54;55;56;59;63;66;67;68;69;71;74;82;83;85;88;89;90;95;97;98;99
60,2962,11121,1416,1,0.001,522,0.522,0;5;6;7;14;17;20;24;37;44;48;51;54;55;59;60;62;63;70;74;76;77;84;90;92;95;97
61,2249,15287,1941,3,0.003,137,0.137,0;1;2;8;9;13;18;20;23;25;30;35;38;44;45;48;49;50;51;52;55;58;60;62;63;65;74;77;79;80;81;82;85;86;92;96;98
62,2763,13187,1678,5,0.005,394,0.394,2;7;10;11;14;16;17;19;24;27;40;42;47;49;50;51;53;55;57;58;62;64;70;75;79;85;88;90;95;96;97;98
63,3278,18366,2320,8,0.008,293,0.293,1;2;3;8;10;11;12;13;15;17;18;19;22;23;29;30;31;34;35;36;37;41;42;47;48;49;50;51;52;53;54;57;58;59;60;63;64;65;69;80;90;93;96;98
64,3004,15519,1962,1,0.001,347,0.347,0;1;3;7;11;15;18;21;23;24;26;29;30;31;35;36;39;45;46;49;50;51;52;59;61;62;66;71;72;73;74;83;85;88;94;95;99
65,2280,10711,1363,3,0.003,404,0.404,1;8;11;16;17;20;22;26;27;28;43;47;49;50;60;62;65;66;68;72;79;80;85;87;96;98
66,2264,11790,1485,2,0.002,345,0.345,5;6;7;9;14;15;16;17;19;22;25;27;30;35;37;40;43;44;49;58;81;87;88;89;90;92;97;99
67,2088,7246,939,1,0.001,551,0.551,4;7;14;15;18;28;30;32;33;37;46;47;48;51;52;58;65;94
68,1813,11434,1462,3,0.003,195,0.195,1;4;13;14;17;25;29;31;34;35;39;43;44;46;49;56;57;59;64;68;73;76;77;82;87;88;93;97
69,1890,9865,1287,3,0.003,321,0.321,3;7;9;10;17;19;21;22;25;33;36;40;43;45;56;61;62;63;65;67;74;77;85;90;94
70,3084,17110,2162,0,0.0,299,0.299,6;7;10;12;14;16;18;19;20;23;27;29;33;35;38;40;41;42;45;47;52;57;58;61;62;63;66;68;69;70;73;84;85;88;90;92;93;94;96;97;99
71,2216,9661,1275,0,0.0,425,0.425,0;5;9;12;15;17;24;25;36;39;44;57;61;62;67;69;71;75;76;78;83;91;94;96;97
72,2342,7014,921,0,0.0,607,0.607,11;15;19;33;35;38;40;42;43;45;47;61;63;80;84;88;96;97
73,2286,7283,938,0,0.0,590,0.59,2;3;7;13;18;24;27;37;44;49;58;59;61;81;82;92;93;96
74,2490,9067,1186,1,0.001,525,0.525,1;12;22;25;29;40;46;48;53;58;62;63;70;71;79;81;82;83;90;91;92;96;98
75,2629,16818,2143,0,0.0,185,0.185,1;3;4;5;7;11;14;15;16;18;20;26;31;34;36;38;39;41;42;43;45;46;51;53;55;56;57;58;59;63;65;66;72;82;83;84;91;93;94;95;97
76,3291,21188,2597,2,0.002,211,0.211,0;1;2;4;6;10;15;16;17;21;22;24;26;27;28;29;31;33;36;37;38;39;40;44;48;50;53;54;57;59;60;63;64;68;69;72;75;76;79;80;81;84;85;89;91;95;97;98
77,1735,5319,710,0,0.0,591,0.591,6;17;26;28;29;32;34;45;61;69;85;92;98;99
78,2370,11657,1478,2,0.002,377,0.377,0;1;11;12;13;19;24;34;35;39;48;49;55;60;62;63;64;68;72;75;80;82;88;92;94;97;98;99
79,3144,23189,2768,58,0.058,120,0.12,1;3;4;6;7;8;9;12;13;14;15;18;19;20;21;22;24;30;31;34;35;37;38;42;43;44;48;49;52;53;57;58;62;63;65;66;70;73;74;75;76;80;83;85;90;92;93;96;97;98
80,1800,5778,736,3,0.003,593,0.593,8;10;15;16;17;33;37;62;70;72;80;91;93;98
81,1867,5815,768,0,0.0,589,0.589,0;15;21;23;28;31;49;50;62;63;68;80;88;90;99
82,1929,7424,945,9,0.009,511,0.511,1;2;5;22;23;30;41;45;48;49;54;57;64;66;80;84;91;96
83,2504,13122,1646,0,0.0,343,0.343,2;8;9;10;11;20;24;31;34;35;37;40;41;42;46;48;58;70;74;75;79;81;83;84;85;86;89;92;95;96;97
84,2987,21520,2645,9,0.009,115,0.115,6;7;8;10;12;13;15;17;18;19;21;22;23;28;29;30;35;38;41;42;44;45;47;48;51;53;55;56;58;62;64;65;66;67;68;69;76;77;81;84;85;87;89;92;93;94;96;97;99
85,2184,11430,1522,1,0.001,305,0.305,4;5;7;14;15;17;18;22;25;31;33;37;39;41;42;49;50;51;54;59;61;71;75;76;81;84;85;87;95;97
86,2624,10886,1375,0,0.0,476,0.476,0;1;2;4;21;22;24;25;30;33;36;42;49;50;51;53;55;57;62;67;72;86;90;91;93;99
87,1608,2524,320,2,0.002,801,0.801,19;20;35;36;43;76
88,2152,7524,1007,1,0.001,533,0.533,0;1;4;7;10;13;15;23;29;30;31;33;42;49;53;56;68;93;97;99
89,1327,4245,563,0,0.0,576,0.576,17;34;35;40;41;50;55;57;58;63;90
90,1962,6062,809,6,0.006,588,0.588,3;12;23;49;51;53;56;64;66;67;73;81;86;90;94;96
91,2622,16677,2082,2,0.002,206,0.206,0;4;5;6;11;13;15;16;18;20;21;22;23;27;29;31;32;34;39;40;42;43;45;48;50;53;55;56;58;62;63;66;75;78;80;84;86;88;91
92,1853,5664,729,2,0.002,608,0.608,11;23;34;39;42;46;55;60;65;66;85;90;92;96
93,2847,21603,2680,96,0.096,59,0.059,0;3;4;5;6;7;8;9;10;11;13;15;16;17;18;20;23;27;30;33;35;37;39;40;43;45;48;50;53;59;60;61;62;65;66;67;71;72;74;75;77;79;80;86;87;91;95;96;97;98
94,2556,16446,2093,11,0.011,182,0.182,0;6;10;15;16;17;18;19;20;27;28;31;34;36;40;41;42;45;46;48;49;51;52;55;58;61;63;64;65;67;68;70;71;73;75;77;83;87;96;97
95,2516,14388,1807,14,0.014,283,0.283,0;3;4;6;8;18;19;21;27;28;29;30;31;33;35;39;48;56;60;61;64;69;70;71;73;75;79;86;87;88;90;92;95;97
96,3519,17867,2235,0,0.0,365,0.365,1;3;6;9;11;12;14;18;19;22;24;28;33;34;35;36;40;43;44;47;48;51;52;56;58;63;66;67;68;69;71;76;77;79;81;85;87;89;92;93;94;97
97,2709,12750,1596,0,0.0,411,0.411,1;7;14;22;29;30;32;34;38;50;53;55;57;58;64;69;70;73;75;80;81;82;83;85;87;93;94;95;98;99
98,2341,10393,1344,0,0.0,426,0.426,3;7;9;10;12;16;18;21;23;28;29;31;36;40;44;51;55;67;69;71;81;84;85;87;92;93
99,2088,7918,1032,2,0.002,507,0.507,5;9;11;12;14;15;26;33;35;41;50;51;57;68;74;77;78;79;80;90
