task,start_s,duration_s,assigned_antenna_stage3
0,0,2821,3
1,12603,2140,3
2,0,2247,2
3,0,2222,0
4,8749,2902,0
5,2866,2319,1
6,8361,2559,1
7,5952,2907,0
8,5277,2524,2
9,2711,1791,3
10,9068,3645,3
11,12307,2518,1
12,3511,2551,0
13,7691,1760,2
14,2137,3250,2
15,5075,1458,1
16,2112,1509,0
17,7108,2070,3
18,6423,2048,1
19,0,2784,1
20,4392,2826,3
21,11541,3199,0
22,10810,1607,1
23,9341,2392,2
24,11623,3120,2
