task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
20,3058,20927,2610,0,0.0,147,0.147,0;2;3;5;6;7;11;12;14;17;21;22;25;32;33;35;36;37;38;39;40;42;43;44;45;47;50;51;52;57;59;65;66;71;72;76;77;80;81;83;84;85;87;89;91;92;93;94;95
21,1432,3878,483,2,0.002,663,0.663,12;14;37;38;52;61;87;91;93
22,2412,14669,1847,20,0.02,236,0.236,0;2;3;5;8;10;13;15;18;20;21;23;30;36;40;43;47;53;54;56;57;59;62;63;64;65;66;68;69;73;83;92;95;98;99
23,2789,17199,2138,2,0.002,235,0.235,0;3;6;7;13;16;23;24;28;31;35;36;37;40;43;44;49;50;51;56;58;59;60;62;63;64;65;66;69;70;72;74;77;79;82;91;92;94;95;97
24,2448,12568,1586,7,0.007,353,0.353,9;10;12;14;15;17;20;24;27;31;33;45;50;52;54;55;57;58;64;65;68;75;76;81;82;83;88;90;97;98
25,2609,14396,1832,16,0.016,298,0.298,3;7;9;14;18;23;24;27;29;33;34;35;36;42;45;46;48;53;54;59;60;65;66;68;75;77;78;82;83;86;88;89;91;94;97
26,2314,9370,1231,1,0.001,469,0.469,0;3;4;17;24;35;36;37;40;42;43;46;60;63;66;70;72;74;86;88;89;94;95;98
27,1579,8230,1079,4,0.004,318,0.318,13;17;25;27;37;39;40;42;44;51;53;55;57;59;62;69;70;74;76;78;95
28,2923,15699,1992,12,0.012,319,0.319,0;2;5;7;10;11;14;15;16;18;19;21;22;30;32;33;34;36;40;44;46;48;50;51;54;56;59;67;68;69;71;72;75;77;78;80;91;98
29,3537,19097,2335,9,0.009,340,0.34,0;4;5;7;9;11;18;21;26;28;34;38;39;40;41;43;44;45;47;48;49;53;54;56;57;58;59;60;63;66;68;71;73;75;77;81;82;84;85;87;88;89;94
30,2412,11086,1416,6,0.006,413,0.413,5;7;8;10;14;19;25;28;34;39;45;48;50;56;68;70;78;79;80;81;82;83;87;89;95;97;99
31,1732,10051,1268,4,0.004,268,0.268,3;5;19;20;24;27;28;31;34;47;48;51;55;57;61;65;66;67;75;80;83;89;92;93
32,1832,9398,1290,16,0.016,296,0.296,4;13;15;17;22;26;28;33;34;53;54;56;60;62;66;67;71;72;77;79;85;86;90;93;96;99
33,2932,15426,1922,3,0.003,345,0.345,0;4;5;11;12;13;14;15;16;19;24;36;37;38;44;47;48;52;55;56;57;58;59;60;65;66;70;77;81;83;85;91;93;95;96;99
34,3334,15912,2004,1,0.001,399,0.399,1;7;9;11;13;14;16;20;24;25;26;28;31;34;40;41;47;48;49;50;53;55;57;58;64;65;66;67;70;77;83;87;88;91;92;95;98;99
35,2513,13453,1693,3,0.003,328,0.328,2;3;9;13;16;21;22;27;33;34;39;43;44;46;49;53;57;58;62;63;65;67;68;70;74;76;77;80;81;82;84;86
36,2643,11969,1523,2,0.002,425,0.425,1;4;8;10;11;17;20;21;22;29;31;36;39;42;47;48;49;50;52;57;61;62;69;72;73;78;79;88;99
37,2500,11648,1503,9,0.009,400,0.4,0;5;10;13;14;15;17;20;32;44;46;47;48;51;52;56;61;64;65;68;69;72;77;82;83;87;90;91;93
38,2362,13917,1776,11,0.011,249,0.249,0;2;7;9;15;19;20;21;23;24;28;31;33;34;36;37;38;39;43;53;58;63;72;73;75;81;83;85;86;87;91;93;94;95
39,2594,14277,1770,8,0.008,319,0.319,2;5;6;8;13;14;16;20;22;28;30;35;40;44;46;47;48;54;58;59;63;68;69;72;75;76;79;85;87;93;96;98;99
40,2710,14529,1840,2,0.002,323,0.323,2;4;6;9;16;17;18;21;23;24;25;26;27;29;30;32;33;39;41;43;53;55;57;58;59;66;70;74;75;81;89;91;92;94;96
41,2159,11562,1444,2,0.002,333,0.333,1;6;13;20;21;22;23;44;45;46;47;53;55;56;58;59;69;71;74;75;83;86;87;88;92;94;97
42,2675,14794,1885,19,0.019,300,0.3,0;8;10;12;13;15;16;20;21;23;25;30;31;35;38;46;47;49;51;53;58;60;61;62;63;65;68;73;77;80;82;84;85;87;92;99
43,2792,16359,2060,9,0.009,263,0.263,3;4;5;9;11;15;22;24;27;28;30;31;34;35;37;39;41;43;45;46;49;62;67;71;72;73;74;75;79;81;82;85;86;87;93;94;96;97;98
44,3446,21224,2539,1,0.001,265,0.265,1;2;4;7;9;10;12;14;15;18;20;23;26;29;30;34;37;38;40;41;42;43;44;45;48;49;50;54;56;57;61;64;67;69;71;73;74;76;79;82;85;92;93;94;95;97
45,2578,13272,1683,1,0.001,348,0.348,10;14;18;19;22;23;24;26;27;29;30;35;36;43;47;48;51;55;56;57;58;60;63;66;67;68;77;80;84;85;96;97
46,2785,11498,1465,0,0.0,474,0.474,0;4;7;10;13;15;18;20;22;26;28;29;32;36;38;39;47;51;57;67;74;79;81;83;84;88;92;98
47,2515,10369,1376,3,0.003,453,0.453,0;4;7;14;18;19;20;23;44;46;47;49;53;54;59;61;63;64;73;80;85;86;89;91;93;94;95
48,2096,10888,1431,21,0.021,318,0.318,2;7;8;18;24;30;32;35;39;40;46;48;51;52;54;56;58;62;63;67;72;76;82;86;87;93;94;95
49,1238,433,54,3,0.003,957,0.957,70
50,2210,11641,1535,2,0.002,306,0.306,1;8;10;12;15;16;17;25;26;27;31;32;34;43;51;54;61;62;63;64;67;69;71;76;81;86;88;92;95;98
51,1768,8405,1120,5,0.005,368,0.368,1;5;13;15;17;20;24;26;27;31;41;42;46;48;53;57;70;82;86;89;91;98
52,1666,8931,1174,15,0.015,296,0.296,2;3;4;8;12;20;21;22;24;29;30;37;40;46;47;50;61;68;78;79;81;86;98
53,1976,11162,1445,2,0.002,269,0.269,3;5;9;10;12;16;28;32;34;37;38;46;48;51;52;56;61;63;68;69;70;72;75;77;79;89;91;93
54,2072,10384,1316,10,0.01,365,0.365,2;7;8;11;19;21;24;30;32;35;40;48;56;61;62;68;70;74;75;82;85;87;90;93;98
55,2149,11738,1506,2,0.002,301,0.301,1;2;7;11;14;18;20;26;28;31;32;38;45;47;53;55;56;68;73;75;76;80;81;86;87;88;89;95;98
56,1698,10813,1396,9,0.009,178,0.178,5;6;10;13;15;19;26;27;30;39;42;46;52;53;55;56;64;66;67;73;76;79;83;84;86;95;97
57,2014,9204,1190,18,0.018,411,0.411,0;4;6;9;14;20;28;30;32;36;39;47;61;65;68;69;71;72;83;85;94;95;99
58,2962,17759,2201,2,0.002,257,0.257,2;3;5;7;8;9;10;12;13;14;18;22;26;28;32;34;41;46;48;49;51;53;54;55;63;65;68;70;74;75;76;79;81;82;84;85;86;88;90;94;97
59,3321,17992,2238,2,0.002,328,0.328,3;5;6;9;10;14;17;19;21;29;30;31;40;42;43;44;46;50;51;55;56;59;60;62;63;65;66;68;69;70;75;77;78;80;81;82;83;84;89;90;92;93
60,2303,8212,1048,1,0.001,545,0.545,1;3;13;16;21;25;31;44;53;55;57;59;62;64;72;73;74;82;84;98
61,1999,6658,874,7,0.007,563,0.563,3;5;19;20;25;30;31;37;41;44;52;55;63;72;83;91;94
62,2605,17528,2186,12,0.012,161,0.161,1;4;7;8;9;12;16;18;19;20;21;24;28;31;32;36;37;40;48;50;53;54;57;58;59;60;61;64;65;66;68;69;72;78;80;81;84;85;89;90;99
63,2322,18228,2317,1,0.001,4,0.004,3;5;6;8;9;10;12;16;17;18;19;21;22;23;31;33;35;36;37;41;50;52;59;60;61;62;63;65;68;69;71;76;78;79;80;82;86;87;91;93;94;95;98;99
64,1834,9148,1186,3,0.003,354,0.354,2;5;7;8;9;23;24;28;35;36;40;50;51;55;56;59;68;70;81;82;93;96;97
65,2052,10022,1268,4,0.004,384,0.384,1;5;8;13;14;18;19;20;21;24;36;39;40;42;44;48;59;69;79;80;93;94;98;99
66,2382,14113,1789,6,0.006,249,0.249,0;2;10;11;12;13;16;17;18;24;25;28;33;37;41;54;59;61;62;63;73;76;77;78;79;81;82;84;85;86;88;89;90;92
67,2245,12722,1621,8,0.008,278,0.278,0;5;8;11;12;24;28;33;36;40;44;46;47;50;54;58;59;61;69;70;71;75;76;78;81;83;85;87;91;92;96
68,1571,9512,1266,21,0.021,195,0.195,0;1;3;5;9;10;11;15;17;20;22;26;29;33;35;39;54;59;60;62;68;85;87;96;97
69,3024,16502,1981,3,0.003,345,0.345,0;3;4;6;7;8;14;15;21;25;27;29;34;36;38;39;40;41;45;47;54;59;61;64;66;68;74;76;83;84;85;86;88;91;93;94
70,2709,17080,2075,1,0.001,236,0.236,2;3;5;9;14;16;18;19;23;25;30;31;35;36;43;46;47;50;51;52;53;55;57;60;63;64;68;70;75;79;81;86;87;89;91;93;96;98
71,1893,12716,1595,2,0.002,158,0.158,5;7;11;20;21;22;23;24;27;34;36;44;45;57;58;60;61;63;65;66;71;80;81;84;86;89;93;97;98;99
72,2529,12785,1601,4,0.004,367,0.367,5;6;13;15;16;23;24;27;28;30;33;36;38;40;41;45;53;55;57;59;62;63;65;72;75;80;81;90;96;99
73,2947,15686,2024,4,0.004,314,0.314,0;2;7;11;12;17;19;22;24;25;27;34;35;36;41;43;44;50;52;58;61;63;66;68;69;70;71;72;74;75;79;82;86;87;90;92;93;94;96
74,857,4895,624,78,0.078,272,0.272,3;20;47;48;54;63;70;73;75;79;84;85
