task,t_o_scaled,cv_sum,hct_sum,gamma_scaled,gamma,delta_scaled,delta,selected_trees
0,2023,7658,989,3,0.003,513,0.513,0;1;2;3;4;6;10;13;14;35;38;45;49;61;70;82;90;92;93
1,2424,4229,534,5,0.005,781,0.781,11;16;30;35;38;51;56;66;75;94
2,2185,13139,1678,2,0.002,233,0.233,1;2;7;14;16;17;22;31;36;38;45;47;50;51;56;63;64;67;69;70;71;74;78;79;80;82;84;86;89;92;94;99
3,2471,13477,1728,1,0.001,301,0.301,1;4;6;10;13;17;19;24;26;27;30;31;34;36;39;43;45;46;50;52;56;57;61;65;67;77;81;84;88;90;92;93;98
4,2592,16682,2052,2,0.002,210,0.21,1;4;5;10;13;19;21;25;28;30;31;35;36;42;43;44;47;48;53;57;59;62;63;64;66;71;73;76;79;85;86;89;91;92;95;96;98;99
5,2676,11483,1465,2,0.002,453,0.453,2;4;6;9;14;17;19;21;23;24;27;32;33;42;44;46;48;63;68;69;77;79;84;85;86;90;94;95
6,2334,7334,939,0,0.0,599,0.599,1;14;15;17;18;21;24;32;38;39;45;46;56;67;76;79;82;90
7,2594,15887,1950,2,0.002,250,0.25,1;2;3;5;6;9;13;17;18;23;25;26;27;29;35;38;40;43;44;46;50;53;58;59;63;71;74;78;80;82;86;89;90;91;92;97
8,3980,20782,2629,134,0.134,340,0.34,0;1;2;9;10;14;15;17;19;20;23;25;27;30;33;34;37;39;40;41;44;45;46;48;50;51;52;55;56;57;58;59;63;64;65;67;68;71;73;75;79;82;83;85;87;90;91;96;98;99
9,2274,10754,1397,8,0.008,387,0.387,3;4;12;13;20;22;24;26;32;33;35;43;49;53;57;59;60;61;63;71;72;77;78;80;81;91;98
10,2791,16866,2089,2,0.002,252,0.252,2;4;5;6;7;9;10;11;13;15;16;17;21;23;25;30;35;37;38;39;40;42;43;44;50;53;54;55;58;69;70;75;76;79;82;84;86;93;94
11,2923,16139,2021,1,0.001,309,0.309,2;5;6;8;16;18;19;24;25;26;27;28;29;32;34;35;36;38;41;46;47;49;50;53;55;56;59;65;74;76;78;79;80;83;87;91;93;99
12,1587,9019,1209,9,0.009,239,0.239,2;3;7;8;16;20;22;26;28;31;39;43;44;47;53;55;59;67;68;74;78;81;83;97
13,1091,2677,355,2,0.002,675,0.675,9;20;37;45;60;92;95
14,3574,22108,2713,11,0.011,241,0.241,0;4;7;8;11;13;14;15;17;18;20;22;23;27;28;29;31;32;35;36;37;42;45;48;49;50;53;54;55;56;57;58;59;61;62;66;67;68;69;71;72;73;78;80;82;87;91;93;95;97
15,1262,3420,457,0,0.0,638,0.638,2;9;50;54;56;65;69;71;84
16,2027,14627,1876,8,0.008,75,0.075,0;1;2;11;13;14;17;18;19;23;26;28;34;39;40;41;42;45;47;48;49;55;56;62;69;70;73;75;81;82;86;90;93;95;98;99
17,1958,7652,1017,1,0.001,481,0.481,4;10;14;15;20;21;22;24;31;43;57;58;63;66;67;76;88;93;98;99
18,3186,18255,2316,7,0.007,275,0.275,0;2;3;7;14;15;16;23;24;25;26;27;29;30;32;33;36;39;40;41;42;43;50;52;54;55;57;58;61;64;67;69;70;75;76;79;80;81;83;84;85;88;89;98
19,2606,13362,1662,1,0.001,364,0.364,1;3;4;9;10;16;18;28;29;32;36;41;51;53;57;58;60;66;67;69;72;73;76;78;79;83;85;87;90;95;98
